Headline,Description,Last Updated,Category,Image URL,Article Link
No 10 dismisses Russia spy claims as 'baseless',The Russian foreign ministry says it has also summoned the British ambassador.,12 hrs ago,Europe,,https://www.bbc.com/news/articles/c98dzyg8y3ro
Imran Khan supporters pushed back by security forces,The jailed former leader is calling on the protesters to stay in Islamabad until their demands are met.,14 hrs ago,Asia,https://example.com/no-image.png,https://www.bbc.com/news/articles/cg7gklm0r04o
Officer who Tasered 95-year-old guilty of manslaughter,"Clare Nowland, who had symptoms of dementia, died of her injuries a week after being Tasered in Australia.",1 hr ago,Australia,https://example.com/no-image.png,https://www.bbc.com/news/articles/c5yp7g9r8j5o
Why India's latest Sun mission finding is crucial for the world,Indian scientists have reported Aditya-L1's “first significant result”. What is it and why is it significant?,6 hrs ago,Asia,https://example.com/no-image.png,https://www.bbc.com/news/articles/c0qdy5dg7v7o
Judge rejects effort to stop transgender college volleyball player competing,,7 hrs ago,US & Canada,,https://www.bbc.com/news/articles/cvgxjmnnxwno
Aston Martin issues second profit warning in two months,,46 mins ago,Asia,,https://www.bbc.com/news/articles/c98dze04eyyo
Trump picks Covid lockdown critic to lead top health agency,,4 hrs ago,US & Canada,,https://www.bbc.com/news/articles/cvg4yxmmg1zo
World's oldest man dies aged 112,,17 hrs ago,Liverpool,,https://www.bbc.com/news/articles/crk43k54mk0o
Special counsel's last criminal case against Trump dismissed,,6 hrs ago,US & Canada,,https://www.bbc.com/news/articles/c4gvd7kxxj5o
Trump proves he is serious on tariffs - but it's not about trade,"The US president-elect is using tariffs as a weapon of diplomacy, even coercion, says BBC economics editor Faisal Islam.",13 hrs ago,Business,https://example.com/no-image.png,https://www.bbc.com/news/articles/c0k808xdp18o
Is Namibia going to elect its first female leader?,Netumbo Nandi-Ndaitwah is the candidate for the dominant Swapo party but its popularity has waned.,1 day ago,Africa,https://example.com/no-image.png,https://www.bbc.com/news/articles/cwy5z9enx0do
Celebrating the king banished by the British,Ghana marks 100 years since the return of a monarch exiled in Seychelles during the colonial era.,6 hrs ago,Africa,https://example.com/no-image.png,https://www.bbc.com/news/articles/cvgxj343elmo
"The 13-year-old Indian cricketer who won a $130,500 IPL deal",Vaibhav Suryavanshi is the youngest player to get a deal in the world's richest cricket competition.,21 hrs ago,Asia,,https://www.bbc.com/news/articles/c2067q7k613o
'Like a golden ticket' - Menendez brothers case sparks frenzy in LA,"There were just 16 seats to watch Monday's virtual court appearance by the pair, who killed their parents in 1989.",1 day ago,US & Canada,,https://www.bbc.com/news/articles/cdxy5d2q4y4o
'Don't drink the spirits': Laos backpackers avoid shots after suspected poisonings,The deaths of six tourists sent shock waves through the backpacker scene in Vang Vieng.,2 days ago,Asia,https://example.com/no-image.png,https://www.bbc.com/news/articles/c624kd71dj3o
Russian deserter reveals war secrets of guarding nuclear base,"A combat alert was in place on the day Russia invaded Ukraine, he tells the BBC.",1 day ago,Europe,https://example.com/no-image.png,https://www.bbc.com/news/articles/c9dl2pv0yj0o
Biden confirms 'good news' of Israel-Hezbollah ceasefire deal,,,,,https://www.bbc.com/news/videos/c33exz86z03o
Watch: Netanyahu explains why Israel agreed ceasefire deal,,,,,https://www.bbc.com/news/videos/cgl4wy7lyzyo
US travellers pack airports ahead of Thanksgiving holiday,,,,,https://www.bbc.com/news/videos/c629ygl12wgo
First Lady receives White House Christmas tree,,,,,https://www.bbc.com/news/videos/c78d3ye7zgzo
KSI and IShowSpeed team up with soccer stars for Baller League launch,Social media has been abuzz with talk of a new football league over the past 24 hours.,15 hrs ago,Football,https://example.com/no-image.png,https://www.bbc.com/sport/football/articles/c3rx5ll9y3zo
Husband of Indian woman murdered in UK was arrested before,The IOPC is examining how Northamptonshire Police responded to concerns raised by Ms Brella in August.,16 hrs ago,Northamptonshire,https://example.com/no-image.png,https://www.bbc.com/news/articles/cwyg7g94wd9o
